Component,Line,Current Pattern,Feature,AccessLevel,Replacement Hook Call
AttendanceManagement.tsx,85,"if (profile?.role === 'teacher')","attendance.record",full,"const { canFull } = useFeatureAccess(); if (canFull('attendance.record'))"
ClassManagement.tsx,73,"const isAdmin = profile?.role === 'school_admin' || profile?.role === 'super_admin';","classes.create",full,"const { canFull } = useFeatureAccess(); const isAdmin = canFull('classes.create');"
ClassPerformanceAnalytics.tsx,75,"if (profile.role === 'teacher')","analytics.by_class",full,"const { canFull } = useFeatureAccess(); if (canFull('analytics.by_class'))"
ClassPerformanceAnalytics.tsx,95,"profile.role === 'teacher'","classes.my_classes",full,"const { canFull } = useFeatureAccess(); targetClassIds = canFull('classes.my_classes') ? teacherClassIds : [];"
ClassPerformanceAnalytics.tsx,99,"profile.role === 'teacher'","analytics.by_class",full,"const { canFull } = useFeatureAccess(); [ternary condition]"
ClassPerformanceAnalytics.tsx,319,"profile?.role === 'teacher'","analytics.view",read-only,"const { can } = useFeatureAccess(); const isTeacher = can('analytics.view');"
SchoolManagement.tsx,65,"if (profile?.role === 'super_admin')","schools.view",full,"const { canFull } = useFeatureAccess(); if (canFull('schools.view'))"
SystemSettings.tsx,61,"if (profile?.role !== 'super_admin')","system_settings.manage",full,"const { canFull } = useFeatureAccess(); if (!canFull('system_settings.manage'))"
TeacherManagement.tsx,111,"if (profile?.role === 'school_admin' && profile?.school_id)","teachers.view",full,"const { canFull } = useFeatureAccess(); if (canFull('teachers.view') && profile?.school_id)"
SubjectManagement.tsx,94,"if (profile?.role === 'super_admin')","subjects.create",full,"const { canFull } = useFeatureAccess(); if (canFull('subjects.create'))"
SubjectManagement.tsx,106,"else if (profile?.school_id)","subjects.view",full,"const { can } = useFeatureAccess(); if (can('subjects.view'))"
SubjectManagement.tsx,117,"if (profile?.role === 'super_admin')","subjects.create",full,"const { canFull } = useFeatureAccess(); if (canFull('subjects.create'))"
SubjectManagement.tsx,190,"if (profile?.role === 'teacher')","subjects.assign",full,"const { canFull } = useFeatureAccess(); if (canFull('subjects.assign'))"
SubjectManagement.tsx,337,"profile?.role === 'super_admin'","subjects.create",full,"const { canFull } = useFeatureAccess(); disabled={!canFull('subjects.create') && !selectedSchoolId}"
SubjectManagement.tsx,340,"profile?.role !== 'teacher'","subjects.create",full,"const { canFull } = useFeatureAccess(); {canFull('subjects.create') && (...)}""
SubjectManagement.tsx,349,"profile?.role === 'teacher'","subjects.assign",full,"const { canFull } = useFeatureAccess(); {canFull('subjects.assign') ? 'My Subjects' : ..."
SubjectManagement.tsx,358,"profile?.role === 'teacher'","subjects.assign",full,"const { canFull } = useFeatureAccess(); description conditional"
SubjectManagement.tsx,450,"profile?.role === 'super_admin'","subjects.create",full,"const { canFull } = useFeatureAccess(); message conditional"
SubjectManagement.tsx,454,"profile?.role === 'super_admin'","subjects.view",read-only,"const { can } = useFeatureAccess(); message conditional"
SubjectManagement.tsx,467,"profile?.role === 'teacher'","subjects.assign",full,"const { canFull } = useFeatureAccess(); message conditional"
TimetableManagement.tsx,94,"if (profile?.role === 'teacher')","timetable.view",full,"const { canFull } = useFeatureAccess(); query filtering"
TimetableManagement.tsx,114,"if (profile?.role === 'teacher')","timetable.view",full,"const { canFull } = useFeatureAccess(); query filtering"
TimetableManagement.tsx,587,"profile?.role === 'teacher'","timetable.manage",full,"const { canFull } = useFeatureAccess(); header text ternary"
TimetableManagement.tsx,589,"profile?.role === 'teacher'","timetable.manage",full,"const { canFull } = useFeatureAccess(); badge visibility"
TimetableManagement.tsx,596,"profile?.role === 'teacher'","timetable.manage",full,"const { can } = useFeatureAccess(); description text"
TimetableManagement.tsx,602,"profile?.role === 'teacher'","timetable.manage",full,"const { canFull } = useFeatureAccess(); stats section visibility"
